,2,3,4,5,6,7,8,9,10,J,Q,K,A
3,H,H,H,H,H,H,H,H,H,H,H,H,H
4,H,H,H,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H,H,H,H
9,D,D,D,D,D,H,H,H,H,H,H,H,H
10,D,D,D,D,D,D,D,D,H,H,H,H,H
11,D,D,D,D,D,D,D,D,D,D,D,D,D
12,H,H,S,S,S,H,H,H,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H,H,H,H
15,S,S,S,S,S,H,H,H,H,H,H,H,H
16,S,S,S,S,S,H,H,H,H,H,H,H,H
17,S,S,S,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S,S,S,S
21,S,S,S,S,S,S,S,S,S,S,S,S,S
A2,H,H,D,D,D,H,H,H,H,H,H,H,H
A3,H,H,D,D,D,H,H,H,H,H,H,H,H
A4,H,H,D,D,D,H,H,H,H,H,H,H,H
A5,H,H,D,D,D,H,H,H,H,H,H,H,H
A6,D,D,D,D,D,H,H,H,H,H,H,H,H
A7,S,H,D,D,D,S,S,H,H,H,H,H,S
A8,S,S,S,S,S,S,S,S,S,S,S,S,S
A9,S,S,S,S,S,S,S,S,S,S,S,S,S
